Country,0,1,2,3,4,5,6,7,8,9
China (mainland),South Korea,Vietnam,Taiwan,Indonesia,Thailand,Italy,India,Japan,Turkey,Philippines
Russia,Turkey,United States,Taiwan,Italy,Mexico,Belgium,Denmark,Egypt,Belarus,China (mainland)
Japan,Thailand,China (mainland),South Korea,Taiwan,Mexico,Indonesia,Vietnam,India,United States,Malaysia
South Korea,China (mainland),Japan,Thailand,India,Mexico,Indonesia,Turkey,Vietnam,United States,Italy
Germany,France,Poland,Italy,Austria,United States,Czech Republic,Netherlands,Spain,Belgium,Switzerland
Brazil,United States,Mexico,Germany,Argentina,Canada,Turkey,Netherlands,China (mainland),Italy,Dominican Republic
Ukraine,Italy,Turkey,Egypt,United States,Bulgaria,Poland,Russia,Saudi Arabia,Hungary,United Kingdom
Belgium,France,Germany,Netherlands,Italy,United Kingdom,Poland,Luxembourg,United States,Spain,Turkey
India,Nepal,Italy,Indonesia,United Arab Emirates,China (mainland),Bangladesh,United States,Belgium,Thailand,Taiwan
France,Germany,Spain,Italy,Belgium,Turkey,United States,Luxembourg,Poland,United Kingdom,Greece
United States,Mexico,Canada,India,Austria,China (mainland),Italy,South Korea,Belgium,Germany,Spain
Indonesia,China (mainland),Taiwan,India,South Korea,Vietnam,Malaysia,Italy,Thailand,Philippines,Turkey
Netherlands,Germany,United States,Belgium,Italy,France,United Kingdom,Austria,Sweden,Spain,Turkey
Taiwan,China (mainland),Japan,Thailand,Indonesia,Italy,Vietnam,South Korea,United States,Mexico,Malaysia
Italy,Germany,France,Spain,Austria,Poland,Romania,Slovenia,Switzerland,United States,Czech Republic
Sweden,Germany,Italy,United States,Denmark,China (mainland),Spain,Finland,United Kingdom,Poland,South Korea
Austria,Germany,Italy,Czech Republic,Switzerland,France,Poland,Hungary,Romania,Slovenia,Slovakia
Canada,United States,Mexico,Germany,China (mainland),South Korea,Belgium,Bangladesh,Spain,Netherlands,India
Slovakia,Czech Republic,Poland,Hungary,Austria,Germany,Italy,Romania,Turkey,Ukraine,Denmark
Malaysia,China (mainland),South Korea,Indonesia,Japan,India,Taiwan,United States,Thailand,Vietnam,Philippines
United Kingdom,France,Turkey,Thailand,Sweden,Germany,Netherlands,Spain,United States,Italy,Ireland
Spain,Italy,France,Germany,Portugal,Malaysia,Morocco,Turkey,United Kingdom,United States,Algeria
Vietnam,China (mainland),Indonesia,Philippines,Malaysia,Taiwan,United States,Japan,South Korea,Thailand,Mexico
South Africa,United States,Netherlands,Germany,Malaysia,Italy,India,Kenya,Taiwan,Austria,Turkey
Mexico,United States,Canada,Guatemala,Colombia,South Korea,China (mainland),Dominican Republic,South Africa,Belgium,Germany
Iran,United Arab Emirates,China (mainland),Oman,Thailand,Turkey,Italy,Egypt,Iraq,Jordan,Saudi Arabia
