Export_country,0,1,2,3,4,5,6,7,8
China (mainland),0.05243340436166077,0.1720458565075552,0.24673523990609045,0.1957988316974944,0.12877724725880824,0.0740633289248984,0.05403530916910407,0.04507393779016441,0.03103684438422413
Germany,0.0006496079846103045,0.021505306449275858,0.07946014920834524,0.21373563125859932,0.22154104389172122,0.19592945313344967,0.12945223788296584,0.09396598190692013,0.04376058828411251
Ukraine,0.22362812758467088,0.4566908006465026,0.203430090174677,0.057890838402876225,0.03143861238808721,0.013579470583972356,0.007833214335443943,0.004561431975633094,0.0009474139081367308
Iran,0.3023106589223152,0.46844992358982346,0.16388547157814196,0.05537462125418764,0.0038591393645801375,0.0023293060220219413,0.0024473607572166414,0.0009365555528762636,0.0004069629588366693
Mexico,0.0068879538846127,0.085153628024491,0.40618576000412804,0.2062294616606177,0.2052194909191384,0.05785860242693423,0.01947227829291387,0.009942232737443574,0.003050592049720546
Austria,3.866220569686762e-06,0.0021025424936346082,0.053965998041937836,0.16329800497266359,0.2805666948771485,0.27725225812802223,0.11118973567125684,0.057298183383832475,0.05432271621093433
France,0.004379665737770868,0.1097799753982775,0.2576201179755411,0.21622584298301173,0.1736888704482654,0.10817010894516954,0.06017832643846102,0.04203181817058257,0.0279252739029202
India,0.08912237964284687,0.27157927003788757,0.2345650663889336,0.1402302880521961,0.10042058405889541,0.0809794762391089,0.04403321207812018,0.023741013624911638,0.015328709877099703
Taiwan,0.012390255442266442,0.05519304408540657,0.22067944052220098,0.281061004040651,0.21595680257764022,0.10212747424492731,0.06008420132615185,0.03332221901315044,0.019185558747605237
South Korea,0.0024582575508404116,0.03208521635274483,0.16685916289179661,0.3652649959752216,0.21156804243156618,0.11913700285387535,0.06446674789102387,0.02398176899859922,0.014178805054331936
Netherlands,0.006108378219674782,0.03144629043687869,0.14408811231591495,0.28489270016672996,0.2563968576557706,0.11911367389327875,0.08959610033082428,0.046034849550062415,0.022323037430865597
Russia,0.25358927999176994,0.45990123447181824,0.18715647945110395,0.06566185137155038,0.02118032342115523,0.0055740848432733504,0.0033610494116923734,0.002743348866550371,0.0008323481710863501
Brazil,0.21016916014735756,0.42707935994375135,0.1969153419974503,0.09527659728936927,0.040820803327437045,0.02082328543471391,0.00527111815466124,0.0019820882352847005,0.0016622454699744998
Canada,0.008533162129877517,0.02828512871313083,0.10602994829835952,0.24970691560879774,0.5829378732545133,0.007600041421314533,0.0075265352233591844,0.005061987345837603,0.004318408004809782
Belgium,0.002676403191912214,0.017856673429880624,0.06063525556412823,0.15448116969971487,0.2796341376645576,0.2184219320028007,0.15360338482864194,0.05838174721043848,0.0543092964079254
Italy,0.0003778545879623214,0.026440901449249397,0.04085217579081703,0.1510132251063659,0.2307925630547666,0.24275310483246604,0.1482843278157613,0.0810382678338494,0.07844757952876193
Turkey,0.02282473546014719,0.23335060854867792,0.29630103515265105,0.18022144280815372,0.0783676212341709,0.07292265626969746,0.05394320740760115,0.04432979553724019,0.017738897581660557
United Kingdom,0.09001720608248462,0.16920644781419306,0.35016865192091856,0.15240424823758145,0.07005613387518647,0.04982840498652793,0.04424766917472429,0.04015419128680867,0.03391704662157501
Japan,0.013932008359165941,0.12657204264942193,0.23442709861003366,0.29295579912401964,0.20177155975953362,0.07231571240593548,0.03368755839690833,0.014975594004971617,0.009362626690009649
United States,0.06809879468398577,0.0444826282674047,0.035412657041582,0.02526969234105414,0.1395771565778872,0.20301073971154496,0.33880206323456447,0.13225823686151372,0.013088031280462938
Slovakia,0.0011105534428127017,0.08382054900933127,0.09686659245245614,0.18820205379456592,0.30877434955298383,0.1513198299828181,0.0846240411576155,0.05789259753459858,0.027389433072818017
Vietnam,0.004011340453351248,0.29283240726158216,0.2546231477198646,0.2752162420693157,0.07654426636263008,0.030670994102351908,0.03421802303837638,0.022981168190355884,0.008902410802172259
Indonesia,0.08678339359856545,0.12417549316793408,0.14750245046775406,0.13185905030101283,0.09077144139312267,0.0923224357251653,0.06782234631320551,0.08566039037972133,0.17310299865351883
Malaysia,0.13297379296246795,0.2516555431549445,0.20811390867802795,0.1252724079993808,0.08273177765785361,0.08258446781821303,0.061577524928191386,0.03718471736811295,0.017905859432807758
Oman,0.04163303561645388,0.4180243329978415,0.36210855764655914,0.17224378906672427,0.004438038006352488,0.0003123327549849109,0.0005830289294572986,0.0003991277464523719,0.0002577572351741786
