Export_country,Import_country,Nominal Value (SUM)
Belgium,France,17763997470.78885
Belgium,Germany,13356872118.073914
Belgium,Netherlands,3541151690.253001
Belgium,Italy,2692480513.639049
Belgium,United Kingdom,1421099498.7026892
Brazil,United States,27262094498.0
Brazil,Mexico,3499036547.0
Brazil,Germany,2725039120.9466558
Brazil,Argentina,2377361243.0
Brazil,Canada,2096603727.0
Canada,United States,17476482403.0
Canada,Mexico,601404725.7464172
Canada,Germany,425740683.3461915
Canada,China (mainland),279549161.0
Canada,Belgium,204728516.42292783
France,Germany,9103371388.190796
France,Spain,8749771807.852434
France,Italy,6948865961.732206
France,Belgium,3768162836.3201957
France,Turkey,2061160859.23379
India,Nepal,5756715275.773365
India,Italy,4961344839.2562275
India,Indonesia,3480160133.0
India,United Arab Emirates,2977352041.935515
India,China (mainland),2609313436.071129
Indonesia,China (mainland),7235895709.547824
Indonesia,South Korea,1917451863.0
Indonesia,Taiwan,1417129709.172989
Indonesia,Philippines,742808767.8425903
Indonesia,Malaysia,705189201.0028347
Iran,United Arab Emirates,2992652918.2060547
Iran,China (mainland),1996352274.0
Iran,Oman,1939853371.15625
Iran,Thailand,1659096402.2382812
Iran,Turkey,584966820.0149308
Italy,Germany,5551039065.085327
Italy,France,2583251193.381029
Italy,Spain,2154081445.8992896
Italy,Austria,1559942270.400829
Italy,Poland,1150827483.0818007
Japan,Thailand,19899305801.868904
Japan,China (mainland),15951984191.491089
Japan,South Korea,12825081235.0
Japan,Taiwan,9400766043.047117
Japan,Indonesia,7149579153.85901
Malaysia,China (mainland),2224276171.4061756
Malaysia,South Korea,2210205174.0
Malaysia,Indonesia,1961147503.4279785
Malaysia,Japan,1169126228.3912358
Malaysia,India,1117473267.1155918
Mexico,United States,11110378225.0
Mexico,Canada,748554672.2847401
Mexico,Guatemala,411630026.0
Mexico,Colombia,234855049.02487367
Mexico,South Korea,174297963.0
Netherlands,Germany,7511989248.892945
Netherlands,Belgium,4441501906.623244
Netherlands,United States,3631369099.0
Netherlands,France,1988897887.1958833
Netherlands,Italy,1507407676.291475
Oman,Indonesia,3365992470.0
Oman,Thailand,2768415186.9118657
Oman,China (mainland),2231359362.0
Oman,India,334085282.0613098
Oman,Turkey,325043006.50577176
Russia,Turkey,20158472428.170673
Russia,United States,16827021483.0
Russia,Taiwan,11651939303.302952
Russia,Italy,10853422736.80237
Russia,Mexico,9301182272.851604
South Korea,China (mainland),15616342864.0
South Korea,Japan,11345369204.0
South Korea,Thailand,9257379569.0
South Korea,India,7999009453.0
South Korea,Mexico,7256061253.0
Ukraine,Italy,11761612744.795172
Ukraine,Turkey,9426898160.177467
Ukraine,Egypt,5104317177.5793295
Ukraine,United States,4788903277.0
Ukraine,Bulgaria,2622059127.3467417
United Kingdom,France,2339178646.6304913
United Kingdom,Turkey,1692841650.1099548
United Kingdom,Thailand,1659865180.7766123
United Kingdom,Netherlands,1048172314.0518727
United Kingdom,Spain,982056765.2484901
United States,Mexico,16807678726.0
United States,Canada,14915778836.0
United States,Austria,404016441.0
United States,India,399157009.0
United States,China (mainland),305557968.0
Vietnam,China (mainland),3285037160.0
Vietnam,Indonesia,1993193228.0
Vietnam,Philippines,1414891439.0
Vietnam,Malaysia,1134342710.3698452
Vietnam,Taiwan,1039083575.6677135
